id,Close
500000,0
500001,0
500002,0
500003,0
500004,0
500005,0
500006,0
500007,0
500008,0
500009,0
500010,0
500011,0
500012,0
500013,0
500014,0
500015,0
500016,0
500017,0
500018,0
500019,0
500020,0
500021,0
500022,0
500023,0
500024,0
500025,0
500026,0
500027,0
500028,0
500029,0
500030,0
500031,0
500032,0
500033,0
500034,0
500035,0
500036,0
500037,0
500038,0
500039,0
500040,0
500041,0
500042,0
500043,0
500044,0
500045,0
500046,0
500047,0
500048,0
500049,0
500050,0
500051,0
500052,0
500053,0
500054,0
500055,0
500056,0
500057,0
500058,0
500059,0
500060,0
500061,0
500062,0
500063,0
500064,0
500065,0
500066,0
500067,0
500068,0
500069,0
500070,0
500071,0
500072,0
500073,0
500074,0
500075,0
500076,0
500077,0
500078,0
500079,0
500080,0
500081,0
500082,0
500083,0
500084,0
500085,0
500086,0
500087,0
500088,0
500089,0
500090,0
500091,0
500092,0
500093,0
500094,0
500095,0
500096,0
500097,0
500098,0
500099,0
500100,0
500101,0
500102,0
500103,0
500104,0
500105,0
500106,0
500107,0
500108,0
500109,0
500110,0
500111,0
500112,0
500113,0
500114,0
500115,0
500116,0
500117,0
500118,0
500119,0
500120,0
500121,0
500122,0
500123,0
500124,0
500125,0
500126,0
500127,0
500128,0
500129,0
500130,0
500131,0
500132,0
500133,0
500134,0
500135,0
500136,0
500137,0
500138,0
500139,0
500140,0
500141,0
500142,0
500143,0
500144,0
500145,0
500146,0
500147,0
500148,0
500149,0
500150,0
500151,0
500152,0
500153,0
500154,0
500155,0
500156,0
500157,0
500158,0
500159,0
500160,0
500161,0
500162,0
500163,0
500164,0
500165,0
500166,0
500167,0
500168,0
500169,0
500170,0
500171,0
500172,0
500173,0
500174,0
500175,0
500176,0
500177,0
500178,0
500179,0
500180,0
500181,0
500182,0
500183,0
500184,0
500185,0
500186,0
500187,0
500188,0
500189,0
500190,0
500191,0
500192,0
500193,0
500194,0
500195,0
500196,0
500197,0
500198,0
500199,0
500200,0
500201,0
500202,0
500203,0
500204,0
500205,0
500206,0
500207,0
500208,0
500209,0
500210,0
500211,0
500212,0
500213,0
500214,0
500215,0
500216,0
500217,0
500218,0
500219,0
500220,0
500221,0
500222,0
500223,0
500224,0
500225,0
500226,0
500227,0
500228,0
500229,0
500230,0
500231,0
500232,0
500233,0
500234,0
500235,0
500236,0
500237,0
500238,0
500239,0
500240,0
500241,0
500242,0
500243,0
500244,0
500245,0
500246,0
500247,0
500248,0
500249,0
500250,0
500251,0
500252,0
500253,0
500254,0
500255,0
500256,0
500257,0
500258,0
500259,0
500260,0
500261,0
500262,0
500263,0
500264,0
500265,0
500266,0
500267,0
500268,0
500269,0
500270,0
500271,0
500272,0
500273,0
500274,0
500275,0
500276,0
500277,0
500278,0
500279,0
500280,0
500281,0
500282,0
500283,0
500284,0
500285,0
500286,0
500287,0
500288,0
500289,0
500290,0
500291,0
500292,0
500293,0
500294,0
500295,0
500296,0
500297,0
500298,0
500299,0
500300,0
500301,0
500302,0
500303,0
500304,0
500305,0
500306,0
500307,0
500308,0
500309,0
500310,0
500311,0
500312,0
500313,0
500314,0
500315,0
500316,0
500317,0
500318,0
500319,0
500320,0
500321,0
500322,0
500323,0
500324,0
500325,0
500326,0
500327,0
500328,0
500329,0
500330,0
500331,0
500332,0
500333,0
500334,0
500335,0
500336,0
500337,0
500338,0
500339,0
500340,0
500341,0
500342,0
500343,0
500344,0
500345,0
500346,0
500347,0
500348,0
500349,0
500350,0
500351,0
500352,0
500353,0
500354,0
500355,0
500356,0
500357,0
500358,0
500359,0
500360,0
500361,0
500362,0
500363,0
500364,0
500365,0
500366,0
500367,0
500368,0
500369,0
500370,0
500371,0
500372,0
500373,0
500374,0
500375,0
500376,0
500377,0
500378,0
